Hostname,Rule ID,Severity,Result
wrkr224,xccdf_org.ssgproject.content_rule_aide_check_audit_tools,medium,notselected
wrkr224,xccdf_org.ssgproject.content_rule_aide_disable_silentreports,medium,notselected
wrkr224,xccdf_org.ssgproject.content_rule_aide_periodic_checking_systemd_timer,medium,notapplicable
wrkr224,xccdf_org.ssgproject.content_rule_is_fips_mode_enabled,high,notselected
wrkr224,xccdf_org.ssgproject.content_rule_installed_OS_is_vendor_supported,high,notselected
wrkr224,xccdf_org.ssgproject.content_rule_encrypt_partitions,high,notselected
wrkr224,xccdf_org.ssgproject.content_rule_partition_for_dev_shm,low,pass
wrkr224,xccdf_org.ssgproject.content_rule_partition_for_home,low,notselected
wrkr224,xccdf_org.ssgproject.content_rule_partition_for_tmp,low,fail
wrkr224,xccdf_org.ssgproject.content_rule_partition_for_var,low,notselected
wrkr224,xccdf_org.ssgproject.content_rule_partition_for_var_log,low,notselected
wrkr224,xccdf_org.ssgproject.content_rule_partition_for_var_log_audit,low,notselected
wrkr224,xccdf_org.ssgproject.content_rule_partition_for_var_tmp,medium,notselected
wrkr224,xccdf_org.ssgproject.content_rule_package_gdm_removed,medium,notselected
wrkr224,xccdf_org.ssgproject.content_rule_dconf_gnome_disable_user_list,medium,notapplicable
wrkr224,xccdf_org.ssgproject.content_rule_gnome_gdm_disable_xdmcp,high,notapplicable
wrkr224,xccdf_org.ssgproject.content_rule_dconf_gnome_disable_automount,medium,notapplicable
wrkr224,xccdf_org.ssgproject.content_rule_dconf_gnome_disable_automount_open,medium,notapplicable
wrkr224,xccdf_org.ssgproject.content_rule_dconf_gnome_disable_autorun,low,notapplicable
wrkr224,xccdf_org.ssgproject.content_rule_dconf_gnome_screensaver_idle_delay,medium,notapplicable
wrkr224,xccdf_org.ssgproject.content_rule_dconf_gnome_screensaver_lock_delay,medium,notapplicable
wrkr224,xccdf_org.ssgproject.content_rule_dconf_gnome_screensaver_lock_enabled,medium,notapplicable
wrkr224,xccdf_org.ssgproject.content_rule_dconf_gnome_disable_ctrlaltdel_reboot,high,notselected
wrkr224,xccdf_org.ssgproject.content_rule_package_sudo_installed,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_sudo_add_use_pty,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_sudo_custom_logfile,low,fail
wrkr224,xccdf_org.ssgproject.content_rule_sudo_remove_no_authenticate,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_sudo_require_authentication,medium,notselected
wrkr224,xccdf_org.ssgproject.content_rule_sudo_require_reauthentication,medium,fail
wrkr224,xccdf_org.ssgproject.content_rule_clean_components_post_updating,low,notselected
wrkr224,xccdf_org.ssgproject.content_rule_banner_etc_issue_cis,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_banner_etc_issue_net,medium,notselected
wrkr224,xccdf_org.ssgproject.content_rule_banner_etc_issue_net_cis,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_banner_etc_motd_cis,medium,pass
