Hostname,Rule ID,Severity,Result
mstr124,xccdf_org.ssgproject.content_rule_package_prelink_removed,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_package_aide_installed,medium,fail
mstr124,xccdf_org.ssgproject.content_rule_aide_build_database,medium,fail
mstr124,xccdf_org.ssgproject.content_rule_aide_check_audit_tools,medium,notselected
mstr124,xccdf_org.ssgproject.content_rule_aide_disable_silentreports,medium,notselected
mstr124,xccdf_org.ssgproject.content_rule_aide_periodic_checking_systemd_timer,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_is_fips_mode_enabled,high,notselected
mstr124,xccdf_org.ssgproject.content_rule_installed_OS_is_vendor_supported,high,notselected
mstr124,xccdf_org.ssgproject.content_rule_encrypt_partitions,high,notselected
mstr124,xccdf_org.ssgproject.content_rule_partition_for_dev_shm,low,pass
mstr124,xccdf_org.ssgproject.content_rule_partition_for_home,low,notselected
mstr124,xccdf_org.ssgproject.content_rule_partition_for_tmp,low,fail
mstr124,xccdf_org.ssgproject.content_rule_partition_for_var,low,notselected
mstr124,xccdf_org.ssgproject.content_rule_partition_for_var_log,low,notselected
mstr124,xccdf_org.ssgproject.content_rule_partition_for_var_log_audit,low,notselected
mstr124,xccdf_org.ssgproject.content_rule_partition_for_var_tmp,medium,notselected
mstr124,xccdf_org.ssgproject.content_rule_package_gdm_removed,medium,notselected
mstr124,xccdf_org.ssgproject.content_rule_dconf_gnome_disable_user_list,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_gnome_gdm_disable_xdmcp,high,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_dconf_gnome_disable_automount,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_dconf_gnome_disable_automount_open,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_dconf_gnome_disable_autorun,low,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_dconf_gnome_screensaver_idle_delay,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_dconf_gnome_screensaver_lock_delay,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_dconf_gnome_screensaver_lock_enabled,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_dconf_gnome_disable_ctrlaltdel_reboot,high,notselected
mstr124,xccdf_org.ssgproject.content_rule_package_sudo_installed,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_sudo_add_use_pty,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_sudo_custom_logfile,low,fail
mstr124,xccdf_org.ssgproject.content_rule_sudo_remove_no_authenticate,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_sudo_require_authentication,medium,notselected
mstr124,xccdf_org.ssgproject.content_rule_sudo_require_reauthentication,medium,fail
mstr124,xccdf_org.ssgproject.content_rule_clean_components_post_updating,low,notselected
mstr124,xccdf_org.ssgproject.content_rule_banner_etc_issue_cis,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_banner_etc_issue_net,medium,notselected
mstr124,xccdf_org.ssgproject.content_rule_banner_etc_issue_net_cis,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_banner_etc_motd_cis,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_banner_etc_profiled_ssh_confirm,medium,notselected
mstr124,xccdf_org.ssgproject.content_rule_file_groupowner_etc_issue,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_file_groupowner_etc_issue_net,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_file_groupowner_etc_motd,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_file_owner_etc_issue,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_file_owner_etc_issue_net,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_file_owner_etc_motd,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_file_permissions_etc_issue,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_file_permissions_etc_issue_net,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_file_permissions_etc_motd,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_dconf_gnome_banner_enabled,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_dconf_gnome_login_banner_text,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_package_nss_sss_installed,medium,notselected
mstr124,xccdf_org.ssgproject.content_rule_package_pam_modules_installed,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_package_pam_pwquality_installed,medium,fail
mstr124,xccdf_org.ssgproject.content_rule_package_pam_runtime_installed,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_package_pam_sss_installed,medium,notselected
mstr124,xccdf_org.ssgproject.content_rule_accounts_password_pam_unix_enabled,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_display_login_attempts,low,notselected
mstr124,xccdf_org.ssgproject.content_rule_accounts_password_pam_pwhistory_enabled,medium,fail
mstr124,xccdf_org.ssgproject.content_rule_accounts_password_pam_pwhistory_enforce_root,medium,fail
mstr124,xccdf_org.ssgproject.content_rule_accounts_password_pam_pwhistory_remember,medium,fail
mstr124,xccdf_org.ssgproject.content_rule_accounts_password_pam_pwhistory_use_authtok,medium,fail
mstr124,xccdf_org.ssgproject.content_rule_accounts_password_pam_unix_authtok,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faildelay_delay,medium,notselected
mstr124,xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_deny,medium,fail
mstr124,xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_enabled,medium,fail
mstr124,xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_root_unlock_time,medium,notselected
mstr124,xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_unlock_time,medium,fail
mstr124,xccdf_org.ssgproject.content_rule_accounts_password_pam_dcredit,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_accounts_password_pam_dictcheck,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_accounts_password_pam_difok,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_accounts_password_pam_enforce_root,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_accounts_password_pam_enforcing,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_accounts_password_pam_lcredit,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_accounts_password_pam_maxrepeat,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_accounts_password_pam_maxsequence,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_accounts_password_pam_minclass,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_accounts_password_pam_minlen,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_accounts_password_pam_ocredit,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_accounts_password_pam_pwquality_enabled,medium,fail
mstr124,xccdf_org.ssgproject.content_rule_accounts_password_pam_retry,medium,notselected
mstr124,xccdf_org.ssgproject.content_rule_accounts_password_pam_ucredit,medium,notapplicable
mstr124,xccdf_org.ssgproject.content_rule_set_password_hashing_algorithm_auth_stig,medium,notselected
mstr124,xccdf_org.ssgproject.content_rule_set_password_hashing_algorithm_logindefs,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_set_password_hashing_algorithm_systemauth,medium,pass
mstr124,xccdf_org.ssgproject.content_rule_disable_ctrlaltdel_reboot,high,notselected
mstr124,xccdf_org.ssgproject.content_rule_vlock_installed,medium,notselected
mstr124,xccdf_org.ssgproject.content_rule_package_opensc_installed,medium,notselected
mstr124,xccdf_org.ssgproject.content_rule_install_smartcard_packages,medium,notselected
mstr124,xccdf_org.ssgproject.content_rule_smartcard_configure_ca,medium,notselected
mstr124,xccdf_org.ssgproject.content_rule_smartcard_configure_cert_checking,medium,notselected
